x, y, z
61.556827       ,-54.071205     ,1413.998291
130.826852      ,-54.071205     ,1414.477002
-7.499233       ,-54.091512     ,1410.881396
-76.198750      ,-54.132344     ,1405.104346
-144.409222     ,-54.183238     ,1396.678418
-211.977887     ,-54.244350     ,1385.583105
-278.772125     ,-54.325877     ,1371.839063
-344.659717     ,-54.407401     ,1355.436328
-409.487659     ,-54.499127     ,1336.364355
-473.133765     ,-54.590739     ,1314.621680
-535.445251     ,-54.692661     ,1290.211377
-596.279407     ,-54.794495     ,1263.120557
-655.513916     ,-54.896425     ,1233.370020
-712.996143     ,-54.988142     ,1200.931787
-768.583374     ,-55.079773     ,1165.811646
-822.153369     ,-55.171495     ,1128.014648
-873.543091     ,-55.242805     ,1087.526294
-922.640259     ,-55.314130     ,1044.358081
-969.282056     ,-55.365028     ,998.490820
-1013.346387    ,-55.405843     ,949.932642
-1054.680176    ,-55.436339     ,898.686621
-1093.161401    ,-55.446552     ,844.738770
-1128.626660    ,-55.426259     ,788.082568
-1160.954150    ,-55.395657     ,728.724683
-1190.000830    ,-55.334514     ,666.667896
-1215.634717    ,-55.253004     ,601.901440
-1237.692041    ,-55.140981     ,534.425244
-1256.061621    ,-54.998332     ,464.226965
-1270.589941    ,-54.825110     ,391.320593
-1281.134766    ,-54.611151     ,315.692065
-1287.573926    ,-54.376790     ,237.335248
-1289.743799    ,-54.091512     ,156.267188
-1319.422559    ,-54.091512     ,-267.840399
-6012.597656    ,338.156873     ,671.048877
-5947.093359    ,336.915747     ,1177.746240
-5892.343359    ,336.244849     ,1476.429053
-5849.911523    ,335.823669     ,1675.918652
-5767.325977    ,335.222607     ,1987.750781
-5671.473633    ,334.702954     ,2288.090625
-5562.908203    ,334.254639     ,2576.979785
-5442.187500    ,333.887952     ,2854.446387
-5309.852930    ,333.582275     ,3120.554004
-5166.472852    ,333.347937     ,3375.342480
-5012.588086    ,333.184863     ,3618.841406
-4848.750879    ,333.072949     ,3851.103516
-4675.510254    ,333.022046     ,4072.158398
-4493.424902    ,333.022046     ,4282.067871
-4303.037109    ,333.062659     ,4480.860645
-4104.915820    ,333.154431     ,4668.580664
-3899.591602    ,333.286890     ,4845.275684
-3687.635156    ,333.460071     ,5010.977930
-3469.575000    ,333.674048     ,5165.737500
-3245.993555    ,333.908386     ,5309.595117
-3017.419922    ,334.173267     ,5442.584180
-2784.413672    ,334.458508     ,5564.770898
-2547.516504    ,334.764185     ,5676.169336
-2307.297217    ,335.090259     ,5776.839844
-2064.297070    ,335.426440     ,5866.812891
-1819.075488    ,335.772766     ,5946.138867
-1572.173145    ,336.129309     ,6014.858203
-1324.139502    ,336.475818     ,6073.023633
-1075.545776    ,336.832397     ,6120.652734
-826.931543     ,337.178906     ,6157.809961
-578.837109     ,337.515051     ,6184.524023
-331.842883     ,337.840979     ,6200.844727
-92.092474      ,336.149744     ,6203.250000
-91.277426      ,267.643835     ,5495.765625
737.680884      ,272.442517     ,5496.326367
737.680884      ,338.156873     ,6170.555273
952.887964      ,337.565991     ,6139.573242
1386.938818     ,336.537048     ,6048.418945
1604.865967     ,336.088696     ,5988.379102
1822.782861     ,335.680994     ,5918.772070
2040.230713     ,335.324414     ,5839.661133
2256.772559     ,335.008594     ,5751.115430
2471.928516     ,334.733679     ,5653.174805
2685.261035     ,334.488977     ,5545.921875
2896.300781     ,334.295471     ,5429.398828
3104.589258     ,334.142688     ,5303.686523
3309.689063     ,334.020483     ,5168.824219
3511.121777     ,333.938892     ,5024.884570
3708.437988     ,333.898059     ,4871.927344
3901.189453     ,333.887952     ,4710.005566
4088.918848     ,333.908386     ,4539.189258
4271.156543     ,333.959253     ,4359.529980
4447.464258     ,334.051062     ,4171.096582
4617.363281     ,334.173267     ,3973.944434
4780.427051     ,334.325977     ,3768.141504
4936.164258     ,334.499304     ,3553.738477
5084.149805     ,334.713318     ,3330.789258
5223.912891     ,334.947620     ,3099.373242
5390.353711     ,335.309509     ,2778.372656
5691.615820     ,336.149744     ,2090.163574
5864.275781     ,336.883301     ,1536.277441
5991.282422     ,337.708630     ,950.187598
6036.518555     ,338.156873     ,645.212842
1295.254395     ,-54.091512     ,-307.503076
1262.804590     ,-54.091512     ,156.267188
1261.337695     ,-54.366586     ,229.786102
1257.017871     ,-54.611151     ,300.828497
1249.906494     ,-54.814897     ,369.416199
1240.085010     ,-54.988142     ,435.588025
1227.655371     ,-55.130782     ,499.367285
1212.678662     ,-55.253004     ,560.771155
1195.246362     ,-55.334514     ,619.833765
1175.440283     ,-55.405843     ,676.581592
1153.342017     ,-55.446552     ,731.037964
1129.032861     ,-55.466963     ,783.223022
1102.583936     ,-55.466963     ,833.175659
1074.097559     ,-55.446552     ,880.917407
1043.645068     ,-55.416042     ,926.479980
1011.297217     ,-55.375227     ,969.881470
977.156323      ,-55.314130     ,1011.154687
941.293726      ,-55.242805     ,1050.318384
903.790503      ,-55.161292     ,1087.403320
864.728687      ,-55.079773     ,1122.441284
824.189575      ,-54.977943     ,1155.440845
782.254614      ,-54.886208     ,1186.453564
739.015723      ,-54.794495     ,1215.490723
694.543945      ,-54.692661     ,1242.581250
648.920728      ,-54.600952     ,1267.756641
602.238135      ,-54.499127     ,1291.036816
554.567285      ,-54.417599     ,1312.451514
505.989661      ,-54.336076     ,1332.023730
456.596851      ,-54.264766     ,1349.782031
406.470593      ,-54.203654     ,1365.746338
304.312756      ,-54.111928     ,1392.440771
200.178424      ,-54.091512     ,1412.297607
61.556827       ,-69.030304     ,1415.044922
-7.499233       ,-69.050601     ,1411.927002
-76.198750      ,-69.090440     ,1406.149951
-144.409222     ,-69.141357     ,1397.724170
-211.977887     ,-69.203453     ,1386.629883
-278.772125     ,-69.283978     ,1372.885693
-344.659717     ,-69.365501     ,1356.482080
-409.487659     ,-69.457224     ,1337.410107
-473.133765     ,-69.549834     ,1315.667285
-535.445251     ,-69.650757     ,1291.256982
-596.279407     ,-69.752614     ,1264.167188
-655.513916     ,-69.854521     ,1234.415918
-712.996143     ,-69.947246     ,1201.977319
-768.583374     ,-70.038890     ,1166.858350
-822.153369     ,-70.129605     ,1129.060986
-873.543091     ,-70.201909     ,1088.572778
-922.640259     ,-70.272231     ,1045.403613
-969.282056     ,-70.324146     ,999.537598
-1013.346387    ,-70.364932     ,950.979492
-1054.680176    ,-70.394453     ,899.732373
-1093.161401    ,-70.404666     ,845.784302
-1128.626660    ,-70.385339     ,789.128247
-1160.954150    ,-70.353754     ,729.771387
-1190.000830    ,-70.293613     ,667.714526
-1215.634717    ,-70.211110     ,602.947083
-1237.692041    ,-70.099095     ,535.470923
-1256.061621    ,-69.956447     ,465.272607
-1270.589941    ,-69.783211     ,392.366235
-1281.134766    ,-69.570250     ,316.737891
-1287.573926    ,-69.334900     ,238.381805
-1289.743799    ,-69.050601     ,157.312830
-1319.422559    ,-69.050601     ,-266.794720
1295.254395     ,-69.050601     ,-306.457397
1262.804590     ,-69.050601     ,157.312830
1261.337695     ,-69.325703     ,230.831744
1257.017871     ,-69.569261     ,301.874139
1249.906494     ,-69.772980     ,370.462756
1240.085010     ,-69.947246     ,436.634802
1227.655371     ,-70.089871     ,500.412927
1212.678662     ,-70.211110     ,561.816760
1195.246362     ,-70.293613     ,620.879443
1175.440283     ,-70.363943     ,677.627271
1153.342017     ,-70.404666     ,732.083496
1129.032861     ,-70.425069     ,784.269434
1102.583936     ,-70.425069     ,834.222290
1074.097778     ,-70.405650     ,881.964404
1043.645068     ,-70.375145     ,927.525513
1011.297217     ,-70.333347     ,970.927075
977.156323      ,-70.272231     ,1012.200366
941.293726      ,-70.200925     ,1051.364136
903.790503      ,-70.119392     ,1088.449146
864.728687      ,-70.037869     ,1123.486816
824.189575      ,-69.937033     ,1156.487476
782.254614      ,-69.845306     ,1187.500342
739.015723      ,-69.752614     ,1216.537207
694.543945      ,-69.650757     ,1243.627734
648.920728      ,-69.559067     ,1268.802100
602.238135      ,-69.458208     ,1292.082422
554.567285      ,-69.375714     ,1313.496973
505.989661      ,-69.294191     ,1333.069629
456.596851      ,-69.222867     ,1350.827783
406.470593      ,-69.161737     ,1366.792969
304.312756      ,-69.071031     ,1393.486230
200.178442      ,-69.050601     ,1413.344092
130.826852      ,-69.030290     ,1415.522900
33.547446       ,-94.238910     ,-266.794794
33.547446       ,-94.238873     ,-266.794629
5556.916992     ,335.740649     ,2417.205469
5622.825000     ,335.940857     ,2257.184619
5753.545898     ,336.412793     ,1891.495020
5909.688867     ,337.178357     ,1326.712793
-5975.730469    ,337.458398     ,956.228906
-5997.242578    ,337.865991     ,789.827930
-294.533899     ,280.635956     ,5500.950000
-518.486792     ,283.100739     ,5519.400586
-738.960571     ,281.184650     ,5475.128906
-959.671069     ,279.946289     ,5430.033398
-1181.084546    ,279.386517     ,5384.010352
-1403.696631    ,279.526080     ,5336.930273
-1628.019141    ,280.360620     ,5288.694727
-1834.256689    ,276.726782     ,5178.189258
-2038.527246    ,273.846350     ,5067.816797
-2241.367969    ,271.712439     ,4957.271484
-2626.002539    ,269.696210     ,4745.029102
-2828.236523    ,269.769232     ,4631.970410
-3031.653223    ,270.643799     ,4517.213672
-3236.994727    ,272.341919     ,4400.322949
-3445.018652    ,274.921930     ,4280.785840
-3656.635254    ,278.431586     ,4158.044238
-3872.818945    ,282.936456     ,4031.465039
-4024.878223    ,280.725293     ,3833.439258
-4176.229980    ,279.457123     ,3634.565918
-4376.956641    ,270.773108     ,3181.990430
-4478.974805    ,267.726819     ,2948.224512
-4580.212207    ,265.698798     ,2713.528418
-4681.206738    ,264.693604     ,2476.603418
-4782.518848    ,264.728558     ,2236.065234
-4884.747656    ,265.851929     ,1990.375195
-4988.537695    ,268.106635     ,1737.877734
-5094.595898    ,271.565094     ,1476.693457
-5163.359180    ,274.561725     ,1305.275830
-5264.394141    ,279.629517     ,1051.615063
-5340.203906    ,284.341223     ,858.775562
-5398.909570    ,288.047388     ,709.301147
-5457.521484    ,291.764484     ,560.003503
16.578369       ,268.268225     ,5495.837695
127.641129      ,268.911163     ,5495.914453
310.266724      ,269.968341     ,5496.038086
303.898425      ,-54.111841     ,1392.519727
538.437085      ,271.289172     ,5496.191602
882.470215      ,281.969897     ,5459.958398
1262.722412     ,281.422742     ,5383.392773
1459.884814     ,282.184003     ,5342.923242
1659.942627     ,283.624713     ,5301.358008
2058.681738     ,288.374469     ,5217.127148
2419.427490     ,284.846722     ,5002.918359
2605.869141     ,284.038000     ,4891.586426
2793.341602     ,283.926215     ,4779.210938
2982.380859     ,284.514990     ,4665.469629
3159.041016     ,283.772278     ,4529.646680
3336.559863     ,283.758710     ,4392.745898
3515.504297     ,284.482086     ,4254.319922
3696.479004     ,285.971082     ,4113.894727
3880.140234     ,288.256476     ,3970.938867
4018.880859     ,285.964380     ,3780.844043
4157.355762     ,284.480493     ,3590.731055
4296.110449     ,283.812286     ,3399.839355
4435.702441     ,283.968549     ,3207.384082
4576.758691     ,284.990625     ,3012.505371
4585.192676     ,285.188306     ,3000.789551
4728.221777     ,287.153101     ,2802.728320
4819.957617     ,282.194769     ,2484.882422
4918.134961     ,278.248553     ,2144.233154
4961.725195     ,277.117841     ,1992.782666
5006.934961     ,275.989600     ,1835.676709
5058.354492     ,276.022119     ,1656.543750
5148.016992     ,276.020398     ,1344.210938
5200.907227     ,277.475574     ,1159.453345
5294.327930     ,279.959216     ,833.167603
5317.429688     ,278.666162     ,500.718164
3502.829590     ,128.542868     ,136.089999
3475.510254     ,129.252576     ,527.784668
3423.575098     ,127.765320     ,740.034888
3392.597461     ,126.856329     ,873.490063
3340.177734     ,126.765353     ,1075.857715
3307.523730     ,126.669333     ,1204.028101
3277.103320     ,127.224197     ,1319.029834
3246.422754     ,127.789645     ,1429.855957
3184.672559     ,129.918796     ,1643.467676
3125.388281     ,132.607983     ,1843.519629
3036.916406     ,131.511273     ,1976.793311
3004.454883     ,130.910083     ,2026.208057
2889.620215     ,127.863400     ,2137.386475
2800.223730     ,127.793051     ,2262.281836
2710.407715     ,128.172675     ,2385.339697
2619.919336     ,129.002243     ,2506.997168
2528.494336     ,130.272903     ,2627.675098
2412.054785     ,129.076144     ,2721.938965
2296.348975     ,128.309436     ,2813.893945
2181.060205     ,127.965610     ,2903.831836
2065.899756     ,128.015131     ,2992.032129
1950.603516     ,128.458420     ,3078.741504
1828.053955     ,128.187250     ,3152.630273
1705.821533     ,128.289816     ,3224.900391
1583.658398     ,128.773444     ,3295.734375
1171.772900     ,127.568060     ,3450.446777
1042.047290     ,126.829916     ,3482.710840
913.462134      ,126.457608     ,3513.536426
685.913745      ,126.785156     ,3562.960547
584.815063      ,121.683224     ,3589.911035
1375.107129     ,127.448474     ,3374.436035
430.415845      ,121.419525     ,3606.168164
259.563446      ,120.716409     ,3615.193359
129.108380      ,120.155466     ,3616.130566
37.294050       ,119.808655     ,3615.868945
-52.691789      ,119.462531     ,3614.395020
-193.975470     ,126.452060     ,3614.530371
-346.198206     ,127.758179     ,3620.602148
-496.248669     ,126.696432     ,3591.611133
-646.069995     ,125.990872     ,3560.954883
-795.853198     ,125.651376     ,3528.573340
-945.794751     ,125.684427     ,3494.392969
-1096.114673    ,126.092404     ,3458.359570
-1236.064453    ,124.085266     ,3387.507129
-1374.272754    ,122.484567     ,3315.491602
-1510.972559    ,121.286526     ,3242.158008
-1721.668799    ,120.728018     ,3133.391895
-1839.966504    ,118.038025     ,3028.941211
-1956.747070    ,115.932605     ,2925.374414
-2072.459180    ,114.401523     ,2822.281641
-2187.546387    ,113.468738     ,2719.256543
-2302.500879    ,113.129022     ,2615.850879
-2417.816309    ,113.408835     ,2511.599121
-2534.046094    ,114.326587     ,2405.985205
-2651.777930    ,115.907217     ,2298.461279
-2839.805566    ,119.842502     ,2125.551416
-2925.512988    ,119.450024     ,1983.113818
-2996.572852    ,118.361810     ,1830.104883
-3066.062109    ,117.831857     ,1674.650537
-3134.217480    ,117.878833     ,1516.002393
-3201.303223    ,118.524170     ,1353.322998
-3267.593555    ,119.795782     ,1185.715649
-3333.418652    ,121.732892     ,1012.158545
-3377.298047    ,123.434116     ,885.939551
-3436.814648    ,126.274915     ,713.962500
-3480.796582    ,128.932343     ,573.649548
-3513.563086    ,131.068927     ,455.560950
-3558.900000    ,133.080597     ,180.176312
6017.953125     ,337.972925     ,770.376855
5307.750000     ,279.207971     ,640.020850
3490.939453     ,128.851749     ,306.560669
1280.673047     ,-54.091512     ,-99.105112
1280.111572     ,-69.050601     ,-90.038086
-6006.611719    ,338.043567     ,717.343579
-5432.399414    ,290.171301     ,623.994580
-3536.571387    ,132.089850     ,315.803467
-1303.977100    ,-54.091512     ,-47.125067
-1303.605176    ,-69.050601     ,-40.764496